domain,available,is_2_years
997m0j.sa.com,Yes,No
997m0i.sa.com,Yes,No
997m0h.sa.com,Yes,
997m0g.sa.com,Yes,No
997m0f.sa.com,Yes,No
997m0e.sa.com,Yes,
997m0d.sa.com,Yes,
997m0c.sa.com,Yes,
997m0b.sa.com,Yes,No
997m0a.sa.com,Yes,No
997mz9.sa.com,,
997mz8.sa.com,Yes,No
997mz7.sa.com,Yes,
997mz6.sa.com,Yes,
997mz5.sa.com,Yes,
997mz4.sa.com,,No
997mz3.sa.com,,No
997mz2.sa.com,Yes,No
997mz1.sa.com,Yes,No
997mz0.sa.com,Yes,No
997mzz.sa.com,Yes,No
997mzy.sa.com,Yes,No
997mzx.sa.com,Yes,
997mzw.sa.com,Yes,No
997mzv.sa.com,Yes,
997mzu.sa.com,Yes,
997mzt.sa.com,Yes,
997mzs.sa.com,Yes,
997mzr.sa.com,Yes,No
997mzq.sa.com,Yes,No
997mzp.sa.com,Yes,No
997mzo.sa.com,Yes,
997mzn.sa.com,Yes,No
997mzm.sa.com,Yes,No
997mzl.sa.com,Yes,No
997mzk.sa.com,Yes,No
997mzj.sa.com,Yes,
997mzi.sa.com,,
997mzh.sa.com,Yes,
997mzg.sa.com,Yes,No
997mzf.sa.com,Yes,No
997mze.sa.com,Yes,
997mzd.sa.com,Yes,
997mzc.sa.com,Yes,No
997mzb.sa.com,Yes,
997mza.sa.com,Yes,No
997my9.sa.com,Yes,No
997my8.sa.com,Yes,No
997my7.sa.com,Yes,
997my6.sa.com,Yes,No
997my5.sa.com,Yes,No
997my4.sa.com,,No
997my3.sa.com,Yes,
997my2.sa.com,,
997my1.sa.com,Yes,
997my0.sa.com,Yes,No
997myz.sa.com,Yes,No
997myy.sa.com,Yes,No
997myx.sa.com,Yes,No
997myw.sa.com,Yes,
997myv.sa.com,Yes,
997myu.sa.com,Yes,
997myt.sa.com,Yes,No
997mys.sa.com,Yes,
997myr.sa.com,Yes,No
997myq.sa.com,Yes,No
997myp.sa.com,Yes,No
997myo.sa.com,Yes,
997myn.sa.com,Yes,No
997mym.sa.com,Yes,No
997myl.sa.com,Yes,No
997myk.sa.com,Yes,No
997myj.sa.com,Yes,
997myi.sa.com,Yes,No
