domain,available,is_2_years
gid.uk.com,Yes,
gic.uk.com,No,false
gib.uk.com,No,
gia.uk.com,No,true
gh9.uk.com,Yes,
gh8.uk.com,Yes,
gh7.uk.com,Yes,
gh6.uk.com,Yes,
gh5.uk.com,Yes,
gh4.uk.com,Yes,
gh3.uk.com,No,true
gh2.uk.com,Yes,
gh1.uk.com,Yes,
gh0.uk.com,Yes,
ghz.uk.com,Yes,
ghy.uk.com,Yes,
ghx.uk.com,No,
ghw.uk.com,Yes,
ghv.uk.com,No,true
ghu.uk.com,Yes,
ght.uk.com,No,true
ghs.uk.com,No,true
ghr.uk.com,Yes,
ghq.uk.com,No,true
ghp.uk.com,No,true
gho.uk.com,,
ghn.uk.com,No,
ghm.uk.com,No,true
ghl.uk.com,Yes,
ghk.uk.com,Yes,
ghj.uk.com,Yes,
ghi.uk.com,No,true
ghh.uk.com,No,
ghg.uk.com,No,true
ghf.uk.com,Yes,
ghe.uk.com,No,false
ghd.uk.com,No,true
ghc.uk.com,No,true
ghb.uk.com,No,true
gha.uk.com,No,true
gg9.uk.com,Yes,
gg8.uk.com,Yes,
gg7.uk.com,Yes,
gg6.uk.com,Yes,
gg5.uk.com,Yes,
gg4.uk.com,Yes,
gg3.uk.com,Yes,
gg2.uk.com,Yes,
gg1.uk.com,Yes,
gg0.uk.com,Yes,
ggz.uk.com,,
ggy.uk.com,,
ggx.uk.com,,
ggw.uk.com,,
ggv.uk.com,No,
ggu.uk.com,No,
ggt.uk.com,Yes,
ggs.uk.com,No,true
ggr.uk.com,Yes,
ggq.uk.com,Yes,
ggp.uk.com,,
ggo.uk.com,Yes,
ggn.uk.com,Yes,
ggm.uk.com,No,
ggl.uk.com,No,
ggk.uk.com,Yes,
ggj.uk.com,Yes,
ggi.uk.com,No,true
ggh.uk.com,Yes,
ggg.uk.com,No,true
ggf.uk.com,No,
gge.uk.com,Yes,
ggd.uk.com,Yes,
ggc.uk.com,No,true
ggb.uk.com,Yes,
gga.uk.com,,true
gf9.uk.com,Yes,
gf8.uk.com,Yes,
gf7.uk.com,Yes,
gf6.uk.com,Yes,
gf5.uk.com,Yes,
gf4.uk.com,Yes,
gf3.uk.com,Yes,
gf2.uk.com,Yes,
gf1.uk.com,Yes,
gf0.uk.com,Yes,
gfz.uk.com,No,
gfy.uk.com,No,
gfx.uk.com,Yes,
gfw.uk.com,Yes,
gfv.uk.com,Yes,
gfu.uk.com,Yes,
gft.uk.com,No,true
gfs.uk.com,No,true
gfr.uk.com,No,
gfq.uk.com,Yes,
gfp.uk.com,,false
gfo.uk.com,Yes,
gfn.uk.com,No,true
gfm.uk.com,No,
gfl.uk.com,No,true
gfk.uk.com,No,true
gfj.uk.com,Yes,
gfi.uk.com,No,true
gfh.uk.com,No,
gfg.uk.com,No,
gff.uk.com,No,true
gfe.uk.com,No,true
gfd.uk.com,No,
gfc.uk.com,No,true
gfb.uk.com,Yes,
gfa.uk.com,No,true
ge9.uk.com,Yes,
ge8.uk.com,Yes,
ge7.uk.com,Yes,
ge6.uk.com,Yes,
ge5.uk.com,Yes,
ge4.uk.com,Yes,
ge3.uk.com,Yes,
ge2.uk.com,Yes,
ge1.uk.com,Yes,true
ge0.uk.com,Yes,
gez.uk.com,Yes,
gey.uk.com,Yes,
gex.uk.com,Yes,
gew.uk.com,No,true
gev.uk.com,No,
geu.uk.com,Yes,
get.uk.com,No,true
ges.uk.com,No,true
ger.uk.com,No,true
geq.uk.com,Yes,
gep.uk.com,No,true
geo.uk.com,No,true
gen.uk.com,No,true
gem.uk.com,No,true
gel.uk.com,No,true
gek.uk.com,,
gej.uk.com,Yes,
gei.uk.com,No,true
geh.uk.com,Yes,
geg.uk.com,No,true
gef.uk.com,Yes,
gee.uk.com,No,true
ged.uk.com,No,true
gec.uk.com,No,true
geb.uk.com,,
gea.uk.com,No,true
gd9.uk.com,Yes,
gd8.uk.com,Yes,
gd7.uk.com,Yes,
gd6.uk.com,Yes,
gd5.uk.com,Yes,
gd4.uk.com,Yes,
gd3.uk.com,Yes,
gd2.uk.com,Yes,
gd1.uk.com,,
gd0.uk.com,Yes,
gdz.uk.com,Yes,
gdy.uk.com,Yes,
gdx.uk.com,Yes,
gdw.uk.com,,true
gdv.uk.com,No,
gdu.uk.com,,
gdt.uk.com,Yes,
gds.uk.com,No,true
gdr.uk.com,No,true
gdq.uk.com,Yes,
gdp.uk.com,No,true
gdo.uk.com,Yes,
gdn.uk.com,No,true
gdm.uk.com,No,true
gdl.uk.com,No,true
gdk.uk.com,No,true
gdj.uk.com,Yes,
gdi.uk.com,No,true
gdh.uk.com,Yes,
gdg.uk.com,Yes,
gdf.uk.com,Yes,
gde.uk.com,Yes,
gdd.uk.com,Yes,
gdc.uk.com,No,true
gdb.uk.com,No,true
gda.uk.com,No,true
gc9.uk.com,Yes,
gc8.uk.com,Yes,
gc7.uk.com,Yes,
gc6.uk.com,Yes,
gc5.uk.com,Yes,
gc4.uk.com,Yes,
gc3.uk.com,Yes,
gc2.uk.com,Yes,
gc1.uk.com,Yes,
gc0.uk.com,Yes,
gcz.uk.com,Yes,
gcy.uk.com,Yes,
gcx.uk.com,Yes,
gcw.uk.com,No,true
gcv.uk.com,No,
gcu.uk.com,No,true
gct.uk.com,No,true
gcs.uk.com,No,true
gcr.uk.com,Yes,
gcq.uk.com,Yes,
gcp.uk.com,No,true
gco.uk.com,No,true
gcn.uk.com,Yes,
gcm.uk.com,No,true
gcl.uk.com,No,true
gck.uk.com,Yes,
gcj.uk.com,Yes,
gci.uk.com,No,true
gch.uk.com,No,false
gcg.uk.com,No,
gcf.uk.com,No,true
gce.uk.com,No,true
gcd.uk.com,No,false
gcc.uk.com,No,true
gcb.uk.com,No,true
gca.uk.com,No,true
gb9.uk.com,Yes,
gb8.uk.com,Yes,
gb7.uk.com,Yes,
gb6.uk.com,Yes,
gb5.uk.com,Yes,
gb4.uk.com,Yes,
gb3.uk.com,Yes,
gb2.uk.com,Yes,
gb1.uk.com,Yes,
gb0.uk.com,Yes,
gbz.uk.com,No,
gby.uk.com,,
gbx.uk.com,No,true
gbw.uk.com,No,
gbv.uk.com,,
gbu.uk.com,No,
gbt.uk.com,No,
gbs.uk.com,No,true
gbr.uk.com,No,true
gbq.uk.com,No,
gbp.uk.com,No,true
gbo.uk.com,No,true
gbn.uk.com,No,
gbm.uk.com,No,true
gbl.uk.com,No,true
gbk.uk.com,Yes,
gbj.uk.com,Yes,
gbi.uk.com,No,true
gbh.uk.com,No,true
gbg.uk.com,No,true
gbf.uk.com,No,true
gbe.uk.com,No,
gbd.uk.com,No,true
gbc.uk.com,No,true
gbb.uk.com,Yes,
gba.uk.com,No,true
ga9.uk.com,Yes,
ga8.uk.com,Yes,
ga7.uk.com,Yes,
ga6.uk.com,Yes,
ga5.uk.com,Yes,
ga4.uk.com,Yes,
ga3.uk.com,Yes,
ga2.uk.com,Yes,
ga1.uk.com,No,true
ga0.uk.com,Yes,
gaz.uk.com,No,
gay.uk.com,No,true
gax.uk.com,Yes,
gaw.uk.com,No,
gav.uk.com,No,true
gau.uk.com,No,
gat.uk.com,No,true
gas.uk.com,No,true
gar.uk.com,No,false
gaq.uk.com,Yes,
gap.uk.com,No,true
gao.uk.com,No,false
gan.uk.com,No,true
gam.uk.com,No,true
gal.uk.com,,true
gak.uk.com,,true
gaj.uk.com,,
gai.uk.com,,true
gah.uk.com,,
gag.uk.com,No,true
gaf.uk.com,No,
gae.uk.com,Yes,
gad.uk.com,No,true
gac.uk.com,No,true
gab.uk.com,No,true
gaa.uk.com,No,true
f99.uk.com,No,
f98.uk.com,Yes,
f97.uk.com,Yes,
f96.uk.com,,
f95.uk.com,Yes,
f94.uk.com,Yes,
f93.uk.com,Yes,
f92.uk.com,Yes,
f91.uk.com,No,true
f90.uk.com,Yes,
f9z.uk.com,Yes,
f9y.uk.com,Yes,
f9x.uk.com,Yes,
f9w.uk.com,Yes,
f9v.uk.com,Yes,
f9u.uk.com,Yes,
f9t.uk.com,Yes,
f9s.uk.com,Yes,
f9r.uk.com,Yes,
f9q.uk.com,Yes,
f9p.uk.com,Yes,
f9o.uk.com,Yes,
f9n.uk.com,Yes,true
f9m.uk.com,Yes,
f9l.uk.com,Yes,
f9k.uk.com,,
f9j.uk.com,Yes,
f9i.uk.com,Yes,
f9h.uk.com,Yes,
f9g.uk.com,Yes,
f9f.uk.com,,
f9e.uk.com,,true
f9d.uk.com,Yes,
f9c.uk.com,Yes,
f9b.uk.com,,
f9a.uk.com,Yes,
f89.uk.com,Yes,
f88.uk.com,,
f87.uk.com,Yes,
f86.uk.com,No,
f85.uk.com,Yes,
f84.uk.com,Yes,
f83.uk.com,Yes,
f82.uk.com,Yes,
f81.uk.com,Yes,
f80.uk.com,Yes,
f8z.uk.com,Yes,
f8y.uk.com,Yes,
f8x.uk.com,No,true
f8w.uk.com,Yes,
f8v.uk.com,Yes,
f8u.uk.com,Yes,
f8t.uk.com,Yes,
f8s.uk.com,Yes,
f8r.uk.com,Yes,
f8q.uk.com,Yes,
f8p.uk.com,Yes,
f8o.uk.com,Yes,
f8n.uk.com,Yes,
f8m.uk.com,Yes,
f8l.uk.com,Yes,
f8k.uk.com,Yes,
